[2026-02-26 10:47:57] Iniciando orchestrator com 1 streams...
[2026-02-26 10:47:57] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:47:57] Ingest processes: 1
[2026-02-26 10:47:57] Worker processes: 1
[2026-02-26 10:47:57] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 11:02:35] [HB] frames_in=2453 frames_proc=114 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:40] [HB] frames_in=2471 frames_proc=115 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:45] [HB] frames_in=2471 frames_proc=115 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:50] [HB] frames_in=2489 frames_proc=116 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:02:55] [HB] frames_in=2507 frames_proc=117 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:00] [HB] frames_in=2531 frames_proc=118 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:05] [HB] frames_in=2531 frames_proc=118 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:10] [HB] frames_in=2549 frames_proc=119 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:15] [HB] frames_in=2573 frames_proc=120 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:20] [HB] frames_in=2591 frames_proc=121 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:25] [HB] frames_in=2591 frames_proc=121 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:30] [HB] frames_in=2615 frames_proc=122 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:35] [HB] frames_in=2633 frames_proc=123 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:40] [HB] frames_in=2657 frames_proc=124 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:45] [HB] frames_in=2657 frames_proc=124 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:50] [HB] frames_in=2675 frames_proc=125 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:03:55] [HB] frames_in=2699 frames_proc=126 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:00] [HB] frames_in=2699 frames_proc=126 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:05] [HB] frames_in=2717 frames_proc=127 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:10] [HB] frames_in=2735 frames_proc=128 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:15] [HB] frames_in=2753 frames_proc=129 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:20] [HB] frames_in=2753 frames_proc=129 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:25] [HB] frames_in=2771 frames_proc=130 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:30] [HB] frames_in=2795 frames_proc=131 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:35] [HB] frames_in=2819 frames_proc=132 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:40] [HB] frames_in=2819 frames_proc=132 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:45] [HB] frames_in=2843 frames_proc=133 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:50] [HB] frames_in=2843 frames_proc=133 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:04:55] [HB] frames_in=2861 frames_proc=134 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:00] [HB] frames_in=2879 frames_proc=135 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:05] [HB] frames_in=2897 frames_proc=136 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:10] [HB] frames_in=2915 frames_proc=137 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:15] [HB] frames_in=2933 frames_proc=138 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:20] [HB] frames_in=2933 frames_proc=138 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:25] [HB] frames_in=2951 frames_proc=139 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:30] [HB] frames_in=2975 frames_proc=140 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:35] [HB] frames_in=3003 frames_proc=141 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 11:05:40] [HB] frames_in=3011 frames_proc=141 events_out=1 ingest_alive=1/1 worker_alive=1/1
